19285309,24587900,2
22397701,18448900,2
18736240,21680300,2
19101971,22832699,2
22294800,18673729,2
21027000,20679401,2
18026989,19036949,2
16048611,20780500,2
15963480,22568401,2
19864681,21841200,2
21993500,21739201,2
19238731,17726900,2
21820801,18096889,2
19075661,21612600,2
20110199,19284569,2
21455601,22080000,2
21215500,18651960,2
21922901,20542000,2
20100800,18020851,2
19920900,18597771,2
20409599,18533360,2
19503071,17421810,2
20297501,22794399,2
23442699,23064499,2
18245220,15351080,2
22720800,17709330,2
21230099,19222069,2
20193001,17436310,2
19444580,21999001,2
19141731,19999630,2
19335941,18967819,2
22107500,18190830,2
24714600,21799400,2
21598801,19788530,2
22737099,20195700,2
19731079,20806200,2
19349300,21492901,2
21358400,22726900,2
18748749,17063919,2
24277000,17733101,2
18988390,17489580,2
16639990,18952490,2
22019001,19460320,2
24533001,20735300,2
17847019,21712601,2
15338380,19787479,2
18127121,18105591,2
20539200,20673599,2
18574249,17278151,2
21035999,18464031,2
18582851,17745041,2
18481510,18349049,2
23248400,21276199,2
16869200,22117500,2
16095610,26026699,2
18526030,19873760,2
19781601,19419731,2
19057911,20259899,2
19852619,18240780,2
20634701,18898300,2
17700241,18924620,2
23225601,20361301,2
21890499,20488701,2
17790371,19166340,2
19659500,18865631,2
22063801,16882380,2
20451199,23332001,2
20703701,20629501,2
19677959,18367939,2
21905899,19404770,2
18625561,22551399,2
18650890,20593300,2
23691799,22481499,2
14465080,20301201,0
18549940,21813700,2
18108250,18255089,2
21627600,19065899,2
17935659,18935379,2
22099499,14311380,3
18879070,21055500,2
19812351,19679581,2
18508230,16885790,2
22008200,19542599,2
20543600,19932280,2
17776100,20639400,2
21768700,18336910,2
20304300,18267090,2
21330299,18748220,2
23359299,22749500,2
19502899,18890980,2
16892160,18348751,2
21611900,19801369,2
22592600,16651220,2
20805099,19718491,2
19367161,19966091,2
22836000,20834900,2
22340801,20204300,2
22750801,17314600,2
18992950,16533470,2
21148201,17509871,2
20840900,21495100,2
20308601,20362499,2
19132200,21573500,2
20727600,21785000,2
19305660,17542000,2
19980209,20372601,2
18582300,21247799,2
18628571,19662979,2
18774910,18005270,2
20089699,20891600,2
18017849,20552500,2
19471691,23364500,2
20687599,18904640,2
20238300,19563721,2
23165600,20396801,2
24147499,22124800,2
19798241,16087690,2
18025719,20884600,2
22028000,24653599,2
22323900,22887400,2
22246500,20489399,2
21409500,17463560,2
16397800,22991299,2
20096901,19993080,2
22224701,22112400,2
22852501,23226900,2
16216381,18420391,2
21951199,20868401,2
21869701,21159300,2
17723021,19093010,2
22105700,18258011,2
18547300,14072810,3
18519720,19668280,2
20525400,20874800,2
23880199,17983231,2
22651600,18841410,2
21082401,14912140,2
18778080,19154480,2
20769800,22091900,2
22600800,18810200,2
18022621,21924099,2
19888750,20568699,2
20886101,20128700,2
19779659,19938179,2
19480030,22646200,2
20084000,18746420,2
21062500,20650501,2
20719500,18088551,2
15975070,20102699,2
21438000,14243361,3
19598679,19105450,2
17478020,18591640,2
23294500,20803299,2
21318501,20391100,2
24557600,19503090,2
18215590,16110771,2
22612200,22716700,2
20119801,23285801,2
18342899,16789009,2
16892590,18053980,2
17081039,18135740,2
19813179,17235531,2
19570099,20396500,2
17314819,23028000,2
22669701,17438221,2
23864500,21467100,2
19784451,20319300,2
20197899,18220760,2
19930439,21663200,2
21202599,18756981,2
21670799,17652390,2
24735300,21243401,2
24013800,22132500,2
19977161,20513000,2
21678400,21249800,2
20758900,20866800,2
17350559,19424170,2
21187801,20444300,2
18522110,20857000,2
19246231,15471860,2
17720301,20169899,2
22342899,17049049,2
21976500,19116901,2
19895439,22572201,2
20938599,17671089,2
20768299,23653700,2
18439571,22490101,2
22115700,19003170,2
18468140,19166040,2
19423641,22623299,2
21970800,23302500,2
20141701,18161770,2
20390499,21222401,2
23117300,18332779,2
21881199,22391500,2
25570599,19269600,2
21198299,17289320,2
20777700,20938700,2
18619680,17050690,2
23634800,18408619,2
19845871,19025059,2
21070700,22329601,2
17696220,20379601,2
19873840,21459801,2
19028469,21064100,2
19149601,21571400,2
18046270,18203690,2
18454470,16338711,2
20537300,24562901,2
19356659,25229700,2
20078300,20006500,2
20267601,20245899,2
21190899,17769060,2
20437000,21334700,2
20461899,20316101,2
21557800,21879101,2
22192400,18958160,2
22237000,19063150,2
22545500,18441219,2
19465120,19016361,2
16800680,20564301,2
21556900,20332600,2
21211300,25137199,2
22798700,23202301,2
21222599,19044979,2
20807301,18501240,2
18328310,19573610,2
17559441,19414539,2
21275600,17607531,2
18363230,21198500,2
21206200,23896301,2
20708900,18408300,2
18950430,19840809,2
19456219,22103100,2
19769390,17223190,2
17324421,18944931,2
20818800,20523201,2
19074390,18339779,2
22952801,20557899,2
22732800,20069700,2
21993700,19841831,2
21583099,21779701,2
23245600,18384420,2
22133900,20047699,2
21395800,22962299,2
21548700,19238361,2
23503700,20323399,2
18144890,18007750,2
22175201,22033300,2
20542400,22343800,2
20004900,19794651,2
19018810,17263220,2
17858290,18715250,2
21539501,20504601,2
20699200,20633400,2
20935200,23677101,2
23272999,20023800,2
22637699,17944990,2
22105700,19532551,2
21803400,18638710,2
21718201,19317829,2
21164501,21825800,2
18229099,15686110,2
22160999,21544899,2
